bstart,bend,receptor,protein,site,library,experiment,pdb,gpf,dpf,program,align,res,md,alt,cx,cy,cz,sx,sy,sz,flex,status
5398,5398,x1k6_EqMD.pdbqt,PR,Exo_ChnA,CB_bb,27,1KZK,faah_ExpandedExo_4_Jan2009.gpf,faah_template_EndByGen_March09.dpf,AD,masterpr_ref.pdb,0.375,EQ,none,0,0,0,0,0,0,none,R
5399,5399,x1k6_MIN.pdbqt,PR,Exo_ChnA,CB_bb,27,1KZK,faah_ExpandedExo_4_Jan2009.gpf,faah_template_EndByGen_March09.dpf,AD,masterpr_ref.pdb,0.375,MIN,none,0,0,0,0,0,0,none,R
5400,5400,x1k6_xtal.pdbqt,PR,Exo_ChnA,CB_bb,27,1KZK,faah_ExpandedExo_4_Jan2009.gpf,faah_template_EndByGen_March09.dpf,AD,masterpr_ref.pdb,0.375,none,none,0,0,0,0,0,0,none,R
5401,5401,xh2_EqMD.pdbqt,PR,Exo_ChnA,CB_bb,27,DSTT,faah_ExpandedExo_4_Jan2009.gpf,faah_template_EndByGen_March09.dpf,AD,masterpr_ref.pdb,0.375,EQ,none,0,0,0,0,0,0,none,R
5402,5402,xh2_MIN.pdbqt,PR,Exo_ChnA,CB_bb,27,DSTT,faah_ExpandedExo_4_Jan2009.gpf,faah_template_EndByGen_March09.dpf,AD,masterpr_ref.pdb,0.375,MIN,none,0,0,0,0,0,0,none,R
5403,5403,xh2_xtal.pdbqt,PR,Exo_ChnA,CB_bb,27,DSTT,faah_ExpandedExo_4_Jan2009.gpf,faah_template_EndByGen_March09.dpf,AD,masterpr_ref.pdb,0.375,EQ,none,0,0,0,0,0,0,none,R
5404,5404,xmdEq_1B11fiv.pdbqt,PR,Exo_ChnA,CB_bb,27,1B11,faah_ExpandedExo_4_Jan2009.gpf,faah_template_EndByGen_March09.dpf,AD,masterpr_ref.pdb,0.375,EQ,none,0,0,0,0,0,0,none,R
5405,5405,xmdEq_1BDL.pdbqt,PR,Exo_ChnA,CB_bb,27,1BDL,faah_ExpandedExo_4_Jan2009.gpf,faah_template_EndByGen_March09.dpf,AD,masterpr_ref.pdb,0.375,EQ,none,0,0,0,0,0,0,none,R
5406,5406,xmdEq_1BDQ.pdbqt,PR,Exo_ChnA,CB_bb,27,1BDQ,faah_ExpandedExo_4_Jan2009.gpf,faah_template_EndByGen_March09.dpf,AD,masterpr_ref.pdb,0.375,EQ,none,0,0,0,0,0,0,none,R
5407,5407,xmdEq_1HHP.pdbqt,PR,Exo_ChnA,CB_bb,27,1HHP,faah_ExpandedExo_4_Jan2009.gpf,faah_template_EndByGen_March09.dpf,AD,masterpr_ref.pdb,0.375,EQ,none,0,0,0,0,0,0,none,R
5408,5408,xmdEq_1HII.pdbqt,PR,Exo_ChnA,CB_bb,27,1HII,faah_ExpandedExo_4_Jan2009.gpf,faah_template_EndByGen_March09.dpf,AD,masterpr_ref.pdb,0.375,EQ,none,0,0,0,0,0,0,none,R
5409,5409,xmdEq_1HSI.pdbqt,PR,Exo_ChnA,CB_bb,27,1HSI,faah_ExpandedExo_4_Jan2009.gpf,faah_template_EndByGen_March09.dpf,AD,masterpr_ref.pdb,0.375,EQ,none,0,0,0,0,0,0,none,R
5410,5410,xmdEq_1IZI.pdbqt,PR,Exo_ChnA,CB_bb,27,1IZI,faah_ExpandedExo_4_Jan2009.gpf,faah_template_EndByGen_March09.dpf,AD,masterpr_ref.pdb,0.375,EQ,none,0,0,0,0,0,0,none,R
5411,5411,xmdEq_1MEU.pdbqt,PR,Exo_ChnA,CB_bb,27,1MEU,faah_ExpandedExo_4_Jan2009.gpf,faah_template_EndByGen_March09.dpf,AD,masterpr_ref.pdb,0.375,EQ,none,0,0,0,0,0,0,none,R
