bstart,bend,receptor,protein,site,library,experiment,pdb,gpf,dpf,program,align,res,md,alt,cx,cy,cz,sx,sy,sz,flex,status
1,1,xEBGP-0.pdbqt,GP,wave,N2,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,127.15,67.319,70.588,30,30,30,none,W
2,2,xEBGP-1.pdbqt,GP,wave,N2,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,123.998,116.955,90.011,30,30,30,none,W
3,3,xEBGP-2.pdbqt,GP,wave,N2,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,111.309,105.896,41.287,30,30,30,none,W
4,4,xMBGP-0.pdbqt,GP,wave,N2,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,127.15,67.319,70.588,30,30,30,none,W
5,5,xMBGP-1.pdbqt,GP,wave,N2,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,123.998,116.955,90.011,30,30,30,none,W
6,6,xMBGP-2.pdbqt,GP,wave,N2,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,111.309,105.896,41.287,30,30,30,none,W
7,7,xSDGP-0.pdbqt,GP,wave,N2,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,127.15,67.319,70.588,30,30,30,none,W
8,8,xSDGP-1.pdbqt,GP,wave,N2,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,123.998,116.955,90.011,30,30,30,none,W
9,9,xSDGP-2.pdbqt,GP,wave,N2,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,111.309,105.896,41.287,30,30,30,none,W
10,10,xZAGP-0.pdbqt,GP,wave,N2,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,127.15,67.319,70.588,30,30,30,none,W
11,11,xZAGP-1.pdbqt,GP,wave,N2,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,123.998,116.955,90.011,30,30,30,none,W
12,12,xZAGP-2.pdbqt,GP,wave,N2,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,111.309,105.896,41.287,30,30,30,none,W
13,13,xEBGP-0.pdbqt,GP,wave,DF,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,127.15,67.319,70.588,30,30,30,none,W
14,14,xEBGP-1.pdbqt,GP,wave,DF,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,123.998,116.955,90.011,30,30,30,none,W
15,15,xEBGP-2.pdbqt,GP,wave,DF,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,111.309,105.896,41.287,30,30,30,none,W
16,16,xMBGP-0.pdbqt,GP,wave,DF,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,127.15,67.319,70.588,30,30,30,none,W
17,17,xMBGP-1.pdbqt,GP,wave,DF,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,123.998,116.955,90.011,30,30,30,none,W
18,18,xMBGP-2.pdbqt,GP,wave,DF,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,111.309,105.896,41.287,30,30,30,none,W
19,19,xSDGP-0.pdbqt,GP,wave,DF,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,127.15,67.319,70.588,30,30,30,none,W
20,20,xSDGP-1.pdbqt,GP,wave,DF,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,123.998,116.955,90.011,30,30,30,none,W
21,21,xSDGP-2.pdbqt,GP,wave,DF,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,111.309,105.896,41.287,30,30,30,none,W
22,22,xZAGP-0.pdbqt,GP,wave,DF,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,127.15,67.319,70.588,30,30,30,none,W
23,23,xZAGP-1.pdbqt,GP,wave,DF,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,123.998,116.955,90.011,30,30,30,none,W
24,24,xZAGP-2.pdbqt,GP,wave,DF,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,111.309,105.896,41.287,30,30,30,none,W
25,25,xEBGP-0.pdbqt,GP,wave,NF,0,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,127.15,67.319,70.588,30,30,30,none,W
26,26,xEBGP.pdbqt,GP,wave,N2,1,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
27,27,xMBGP.pdbqt,GP,wave,N2,1,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
28,28,xSDGP.pdbqt,GP,wave,N2,1,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
29,29,xZAGP.pdbqt,GP,wave,N2,1,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
30,30,xEBGP.pdbqt,GP,wave,DF,2,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
31,31,xMBGP.pdbqt,GP,wave,DF,2,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
32,32,xSDGP.pdbqt,GP,wave,DF,2,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
33,33,xZAGP.pdbqt,GP,wave,DF,2,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
34,34,xEBGP.pdbqt,GP,wave,MB,3,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
35,35,xMBGP.pdbqt,GP,wave,MB,3,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
36,36,xSDGP.pdbqt,GP,wave,MB,3,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
37,37,xZAGP.pdbqt,GP,wave,MB,3,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
38,41,xEBGP.pdbqt,GP,wave,OT,4,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
42,45,xMBGP.pdbqt,GP,wave,OT,4,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
46,49,xSDGP.pdbqt,GP,wave,OT,4,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
50,53,xZAGP.pdbqt,GP,wave,OT,4,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
54,57,xEBGP.pdbqt,GP,wave,NF,5,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
58,61,xMBGP.pdbqt,GP,wave,NF,5,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
62,65,xSDGP.pdbqt,GP,wave,NF,5,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
66,69,xZAGP.pdbqt,GP,wave,NF,5,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
70,75,xEBGP.pdbqt,GP,wave,AS,6,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
76,81,xMBGP.pdbqt,GP,wave,AS,6,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
82,87,xSDGP.pdbqt,GP,wave,AS,6,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
88,93,xZAGP.pdbqt,GP,wave,AS,6,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
94,104,xEBGP.pdbqt,GP,wave,CB,7,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
105,115,xMBGP.pdbqt,GP,wave,CB,7,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
116,126,xSDGP.pdbqt,GP,wave,CB,7,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
127,137,xZAGP.pdbqt,GP,wave,CB,7,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
138,153,xEBGP.pdbqt,GP,wave,VM,8,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
154,169,xMBGP.pdbqt,GP,wave,VM,8,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
170,185,xSDGP.pdbqt,GP,wave,VM,8,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
186,201,xZAGP.pdbqt,GP,wave,VM,8,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
202,225,xEBGP.pdbqt,GP,wave,EN,9,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
226,249,xMBGP.pdbqt,GP,wave,EN,9,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
250,273,xSDGP.pdbqt,GP,wave,EN,9,ESZB,none,none,V,xEBGP-0.pdb,1.000,none,none,115,113,43.5,26,33,24,none,W
